# Pakistan Customs Tariff,2025-26,generated 2026-08-31,7594 codes,source: FBR published tariff (no token required)
Code,Description
3105.5100,Containing nitrates and phosphates
3105.5900,Other
3105.6000,Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium
3105.9000,Other
3201.1000,Quebracho extract
3201.2000,Wattle extract - Other
3201.9010,Acacia catechu (cutch)
3201.9020,Oak or chestnut extract
3201.9030,Gambier
3201.9090,Other
3202.1000,Synthetic organic tanning substances - Other
3202.9010,"Tanning substances, tanning preparations based on chromium sulphate"
3202.9090,Other
3203.0010,Obtained from acacia catechu (black cutch)
3203.0090,Other
3204.1110,Powdered
3204.1120,Liquid
3204.1190,Other
3204.1200,"Acid dyes, whether or not premetallised, and preparations based thereon; mordant dyes and preparations based thereon"
3204.1300,Basic dyes and preparations based thereon
3204.1400,Direct dyes and preparations based thereon - - Vat dyes (including those usable in that state as pigments) and preparations based thereon
3204.1510,Indigo blue
3204.1590,Other
3204.1600,Reactive dyes and preparations based thereon - - Pigments and preparations based thereon
3204.1710,Powdered
3204.1720,Liquid
3204.1790,Other
3204.1800,Carotenoid colouring matters and preparations based thereon
3204.1910,"Dyes, sulphur"
3204.1990,"Dyes, synthetic"
3204.2000,Synthetic organic products of a kind used as fluorescent brightening agents
3204.9000,Other
3205.0000,Colour lakes; preparations as specified in Note 3 to this Chapter based on colour lakes
3206.1100,Containing 80 % or more by weight of titanium dioxide calculated on the dry matter
3206.1900,Other - Pigments and preparations based on chromium compounds
3206.2010,Chrome yellow
3206.2090,Other - Other colouring matter and other preparations
3206.4100,Ultramarine and preparations based thereon - - Lithopone and other pigments and preparations based on zinc sulphide
3206.4210,Lithopone
3206.4290,Other - - Other
3206.4910,Master batches (coloured)
3206.4920,Pigments and peparations based on cadmium compounds
3206.4930,Pigments and preparations based on hexacyanoferrates (ferrocyanides and ferricyanides)
3206.4990,Other - Inorganic products of a kind used as luminophores
3206.5010,Flourescent powder
3206.5090,Inorganic products of a kind used as luminophores
3207.1010,Opacifiers
3207.1020,Ceramic Colours
3207.1090,Other
3207.2000,"Vitrifiable enamels and glazes, engobes (slips) and similar preparations"
3207.3000,"Liquid lusters and similar preparations - Glass frit and other glass, in the form of powder, granules or flakes"
3207.4010,Glass frit
3207.4090,Other
3208.1010,Varnishes
3208.1090,Other - Based on acrylic or vinyl polymers
3208.2010,Varnishes
3208.2090,Other - Other: - - - Based on polyamides
3208.9011,Varnishes
3208.9019,Other
3208.9020,Other varnishes
3208.9090,Other
3209.1010,Varnishes
3209.1090,Other - Other
3209.9010,"Lacquered blue, golden and silver"
3209.9090,Other
3210.0010,Distempers
3210.0020,Prepared water pigments of a kind used for finishing leather
3210.0090,Other
3211.0010,For leather
3211.0090,Other
3212.1000,Stamping foils - Other
3212.9010,Aluminium paste and powder
3212.9020,Pigments in paint or enamel media
3212.9030,Emitter paste for tube lights
3212.9090,Other
3213.1000,Colours in sets
3213.9000,Other
3214.1010,Glaziers putty (mastic based on oil)
3214.1020,Grafting putty (mastic based on wax)
3214.1030,Resin cements
3214.1050,Capping cement for bulbs and tube lights
3214.1090,Other - Other
3214.9010,Silicon sealant
3214.9090,Other
3215.1110,Rolling coating printing ink
3215.1120,Digital
3215.1130,Processed
3215.1190,Other - - Other
3215.1910,Flourescent ink
3215.1920,Digital
3215.1930,Processed
3215.1990,Other - Other
3215.9010,"Inks for ball points pens, fine liners and fibre tips"
3215.9090,Other
3301.1200,Of orange
3301.1300,Of lemon
3301.1900,Other - Essential oils other than those of citrus fruit
3301.2400,Of peppermint (Mentha piperita)
3301.2500,Of other mints - - Other
3301.2910,Of citronella
3301.2920,Of eucalyptus
3301.2990,Other
3301.3000,Resinoids - Other
3301.9010,Concentrates of essential oils
3301.9090,Other
3302.1010,Flavours for use in aerated beverages
3302.1020,Flavours and concentrates for use in food industry
3302.1090,Other - Other
3302.9010,Of a kind used in cosmetics industry
3302.9090,Other
3303.0010,Eau-de-cologne
3303.0020,Perfumes
3303.0090,Other
3304.1000,Lip make-up preparations
3304.2000,Eye make-up preparations - Manicure or pedicure preparations
3304.3010,Nail polish
3304.3090,"Other - Other: - - Powders, whether or not compressed"
3304.9110,Face powder
3304.9120,Talcum powder
3304.9190,Other - - Other
3304.9910,Face and skin creams and lotions
3304.9920,Tonics and skin food
3304.9990,Other
3305.1000,Shampoos
3305.2000,Preparations for permanent waving or straightening
3305.3000,Hair lacquers - Other
3305.9010,Cream for hair
3305.9020,Dyes for hair
3305.9090,Other
3306.1010,Tooth paste
3306.1090,Other
3306.2000,Yarn used to clean between the teeth (dental floss)
3306.9000,Other
3307.1000,"Pre-shave, shaving or after-shave preparations"
3307.2000,Personal deodorants and antiperspirants
3307.3000,"Perfumed bath salts and other bath preparations - Preparations for perfuming or deodorising rooms, including odoriferous preparations used during religious rites"
3307.4100,"""Agarbatti"" and other odoriferous perparations which operate by burning"
3307.4900,Other - Other
3307.9010,Contact lens solution
3307.9090,Other
3401.1100,For toilet use (including medicated products) - - Other
3401.1910,Baby wipes
3401.1990,Other
3401.2000,Soap in other forms
3401.3000,"Organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap"
3402.3100,Linear alkylbenzene sulphonic acids and their salts
3402.3900,"Other - Other organic surface-active agents, whether or not put up for retail sale : - - Cationic"
3402.4110,Pharmaceutical grade
3402.4120,Other than in retail packing
3402.4190,Other
3402.4200,Non-ionic - - Other
3402.4910,Cocoamidopropyl betaine (CAPB)
3402.4990,Other
3402.5000,Preparations put up for retail sale
3402.9000,Other
3403.1110,Of a kind used in the leather or like industires
3403.1120,Of a kind used in the paper or like industries - - - Of a kind used in the textile or like industries
3403.1131,Spin finish oil
3403.1139,Other
3403.1190,Other - - Other
3403.1910,Greases
3403.1990,"Other - Other: - - Preparations for the treatment of textile material, leather, furskins or other materials"
3403.9110,Of a kind used in the leather or like industires including fat liquors
3403.9120,Of a kind used in the paper or like industries - - - Of a kind used in the textile or like industries
3403.9131,Spin finish oil
3403.9139,Other
3403.9190,Other - - Other
3403.9910,Mould release preparations
3403.9990,Other
3404.2000,Of poly (oxyethylene) (polyethylene glycol) - Other
3404.9010,Sealing waxes
3404.9020,Of chemically modified lignite
3404.9030,Wax for wax jet engraver
3404.9040,Wax for fungicides
3404.9090,Other
3405.1010,For footwear
3405.1020,For leather
3405.2000,"Polishes, creams and similar preparations for the maintenance of wooden furniture, floors or other woodwork"
3405.3000,"Polishes and similar preparations for coachwork, other than metal polishes"
3405.4000,Scouring pastes and powders and other scouring preparations
3405.9000,Other
3406.0000,"Candles, tapers and the like"
3407.0010,Dental wax and other preparations for use in dentistry
3407.0090,Other
3501.1000,Casein
3501.9000,Other
3502.1100,Dried
3502.1900,Other
3502.2000,"Milk albumin, including concentrates of two or more whey proteins"
3502.9000,Other
3503.0010,Gelatin
3503.0020,Gelatin of pharmaceutical grade
3503.0090,Other
3504.0000,"Peptones and their derivatives; other protein substances and their derivatives, not elsewhere specified or included; hide powder, whether or not chromed"
3505.1010,Dextrins
3505.1020,Dextrins of pharmaceutical grade
3505.1090,Other - Glues
3505.2010,Starch based glues
3505.2020,Dextrin based glues
3505.2030,Printing gum (pre-gelatinized modified 0% starch for textile prining)
3505.2090,Other
3506.1000,"Products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg"
3506.9110,Shoe adhesives
3506.9190,Other - - Other
3506.9910,Sealant having methyl ethyl ketone from 60 % to 70 % and ethyl acetate from 10 % to 20 %
3506.9990,Other
3507.1000,Rennet and concentrates thereof
3507.9000,Other
3601.0000,Propellent powders
3602.0000,"Prepared explosives, other than propellent powders"
3603.1000,Safety fuses
3603.2000,Detonating cords
3603.3000,Percussion caps
3603.4000,Detonating caps
3603.5000,Igniters
3603.6000,Electric detonators
3604.1000,Fireworks
3604.9000,Other
3605.0000,"Matches, other than pyrotechnic articles of heading"
3606.1000,Liquid or liquefied gas fuels in containers of a kind used for filling or refilling cigarette or similar lighters and of a capacity not exceeding 300cm3
3606.9000,Other
3701.1000,For X-ray
3701.2000,"Instant print film - Other plates and film, with any side exceeding 255 mm"
3701.3010,Of a kind used in textile printing
3701.3020,Photo polymers and CTP plates of a kind used in printing Of news papers and magazines
3701.3030,Presensitized printing plates
3701.3090,Other - Other
3701.9100,For colour photography (polychrome)
3701.9900,Other
3702.1000,"For X-ray - Other film, without perforations, of a width not exceeding 105 mm"
3702.3100,For colour photography (polychrome)
3702.3200,"Other, with silver halide emulsion"
3702.3900,"Other - Other film, without perforations, of a width exceeding 105 mm"
3702.4100,"Of a width exceeding 610 mm and of a length exceeding 200 m, for colour photography (polychrome)"
3702.4200,"Of a width exceeding 610 mm and of a length exceeding 200m, other than for colour photography"
3702.4300,Of a width exceeding 610 mm and of a length not exceeding 200 m
3702.4400,"Of a width exceeding 105 mm but not exceeding 610 mm - Other film, for colour photography (polychrome)"
3702.5200,Of a width not exceeding 16 mm
3702.5300,"Of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m, for slides"
3702.5400,"Of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m, other than for slides"
3702.5500,Of a width exceeding16 mm but not exceeding 35 mm and of a length exceeding 30 m
3702.5600,Of a width exceeding 35 mm - Other
3702.9600,Of a width not exceeding 35 mm and of a length not exceeding 30 mm
3702.9700,Of a width not exceeding 35 mm and of a length exceeding 30 mm
3702.9800,Of a width exceeding 35 mm
3703.1000,In rolls of a width exceeding 610 mm
3703.2000,Other for colour photography (polychrome)
3703.9000,Other
3704.0000,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed"
3705.0000,"Photographic plates and film, exposed and developed, other than cinematographic film"
3706.1000,Of a width of 35 mm or more Rs. 5 per meter
3706.9000,Other Rs. 5 per meter
3707.1000,Sensitising emulsions
3707.9000,Other
3801.1000,Artificial graphite
3801.2000,Colloidal or semi-colloidal graphite
3801.3000,Carbonaceous pastes for electrodes and similar pastes for furnace linings
3801.9000,Other
3802.1000,Activated carbon
3802.9000,Other
3803.0000,"Tall oil, whether or not refined"
3804.0000,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates, but excluding tall oil of heading 38.03"
3805.1000,"Gum, wood or sulphate turpentine oils"
3805.9000,Other
3806.1010,Gum Rosin
3806.1090,Other
3806.2000,"Salts of rosin, of resin acids or of derivatives of rosin or resin acids, other than salts of rosin adducts"
3806.3000,Ester gums
3806.9000,Other
3807.0000,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch"
3808.5210,Products registered under the Agricultural Pesticides Ordinance 1971
3808.5290,Other - - Other
3808.5910,Products registered under the Agricultural Pesticides Ordinance 1971
3808.5990,Other - Goods specified in Subheading Note 2 to this Chapter : - - In packings of a net weight content not exceeding 300 g
3808.6110,Products registered under the Agricultural Pesticides Ordinance 1971
3808.6190,Other - - In packings of a net weight content exceeding 300 g but not exceeding 7.5 kg
3808.6210,Products registered under the Agricultural Pesticides Ordinance 1971
3808.6290,Other - - Other
3808.6910,Products registered under the Agricultural Pesticides Ordinance 1971
3808.6990,Other - Other : - - Insecticides
3808.9110,"Mosquito coils, mats, aerosol sprays and the like"
3808.9120,Napthalene balls
3808.9130,Sex pheromone
3808.9140,PB rope L& LTT
3808.9150,Para dichlorobenzene blocks
3808.9170,Products registered under the Agricultural Pesticides Ordinance 1971
3808.9180,Phosphatic insecticides - - - Other
3808.9191,Emamectine benzoate
3808.9199,Other - - Fungicides
3808.9210,Products registered under the Agricultural Pesticides Ordinance 1971
3808.9220,For leather industry
3808.9290,"Other - - Herbicides, anti-sprouting products and plant-growth regulators"
3808.9310,Products registered under the Agricultural Pesticides Ordinance 1971
3808.9390,Other
3808.9400,Disinfectants - - Other
3808.9910,Products registered under the Agricultural Pesticides Ordinance 1971
3808.9990,Other
3809.1000,With a basis of amylaceous substances - Other: - - Of a kind used in the textile or like industries
3809.9110,Printing gum (preparation of modified starches with other gums having specific application in textile printing
3809.9190,Other
3809.9200,Of a kind used in the paper or like industries
3809.9300,Of a kind used in the leather or like industries
3810.1000,Pickling preparations for metal surfaces; soldering brazing or welding powders and pastes consisting of metal and other materials
3810.9010,Preparations of a kind used as cores or coatings for welding electrodes or rods
3810.9090,Other
3811.1100,Based on lead compounds
3811.1900,Other - Additives for lubricating oils
3811.2100,Containing petroleum oils or oils obtained from bituminous minerals
3811.2900,Other
3811.9000,Other
3812.1000,Prepared rubber accelerators
3812.2000,Compound plasticizers for rubber or plastics - Anti-oxidising preparations and other compound stabilisers for rubber or plastics
3812.3100,"Mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline (TMQ)"
3812.3900,Other
3813.0000,Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades
3814.0000,"Organic composite solvents and thinners, not elsewhere specified or included; prepared paint or varnish removers"
3815.1100,With nickel or nickel compounds as the active substance
3815.1200,With precious metal or precious metal compounds as the active substance
3815.1910,Antimony triacetate
3815.1990,Other
3815.9000,Other
3816.0000,"Refractory cements, mortars, concretes and similar compositions, including dolomite ramming mix, other than products of heading 38.01"
3817.0000,"Mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading 27. 07 or 29. 02"
3818.0000,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics"
3819.0010,Hydraulic brake fluids
3819.0090,Other
3820.0000,Anti-freezing preparations and prepared de-icing fluids
3821.0000,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells"
3822.1100,For malaria
3822.1200,For Zika and other diseases transmitted by mosquitoes of the genus Aedes
3822.1300,For blood-grouping
3822.1900,Other
3822.9000,Other
3823.1100,Stearic acid
3823.1200,Oleic acid
3823.1300,Tall oil fatty acids - - Other
3823.1910,Palm fatty acid distillate
3823.1920,Palm acid oil
3823.1930,Fatty acid distillate
3823.1990,Other
3823.7000,Industrial fatty alcohols
3824.1000,Prepared binders for foundry moulds or cores
3824.3000,Non-agglomerated metal carbides mixed together or with metallic binders
3824.4000,"Prepared additives for cements, mortars or concretes"
3824.5000,Non-refractory mortars and concretes
3824.6000,Sorbitol other than that of subheading No. 2905.44 - Goods specified in Subheading Note 3 to this Chapter
3824.8100,Containing oxirane (ethylene oxide)
3824.8200,"Containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)"
3824.8300,"Containing tris(2,3-dibromopropyl) phosphate"
3824.8400,"Containing aldrin (ISO), camphechlor (ISO) (toxaphene), chlordane (ISO), chlordecone (ISO), DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p - chlorophenyl)ethane), dieldrin (ISO, INN), endosulfan (ISO),"
3824.8500,"Containing 1,2,3,4,5,6-hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)"
3824.8600,Containing pentachlorobenzene (ISO) or hexachlorobenzene (ISO)
3824.8700,"Containing perfluorooctane sulphonic acid, its salts, perfluorooctane sulphonamides, or perfluorooctane sulphonyl fluoride"
3824.8800,"Containing tetra-, penta-, hexa-, hepta-or octabromodiphenyl ethers"
3824.8900,Containing short-chain chlorinated paraffins - Other
3824.9100,"Mixtures and preparations consisting mainly of (5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl methyl methylphosphonate and bis[(5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl] methylphosphonate"
3824.9200,Polyglycol esters of methylphosphonic acid - - Other
3824.9910,Gum base of a kind used for manufacture of chewing gum
3824.9920,Ion exchangers
3824.9930,Prepared binders
3824.9940,Anti-scaling compounds
3824.9950,Stencil correctors and other correcting fluids
3824.9960,Preparations for electroplating
3824.9970,Dialysis bath concentrate in liquid or powder form
3824.9980,Chloroparaffins liquid - - - Other
3824.9991,Preparations of a kind used for water purification
3824.9992,Carburizing preparations of a kind used for hardening of steel
3824.9993,Coated or treated calcium carbonate
3824.9994,Carboxylic acid based anhydride hardener
3824.9995,"Substances controlled under the Convention on the Prohibition of the Development , Production, Stock piling and use of Chemical Weapons and on their Destruction"
3824.9996,Mixture of argon and neon gases
3824.9997,Salts of stearic acid other than alkali salts e.g. zinc stearate; calcium stearate
3824.9999,Other
3825.1000,Municipal waste
3825.2000,Sewage sludge
3825.3000,Clinical waste - Waste organic solvents
3825.4100,Halogenated
3825.4900,Other
3825.5000,"Wastes of metal pickling liquors, hydraulic fluids, brake fluids and anti-freeze fluids"
3825.6100,Mainly containing organic constituents
3825.6900,Other
3825.9000,Other
3826.0000,"Biodiesel and mixtures thereof, not containing or containing less than 70 %by weight of petroleum oils or oils obtained from bituminous minerals"
3827.1100,"Containing chlorofluorocarbons (CFCs), whether or not Containing hydrochlorofluorocarbons (HCFCs), perfluorocarbons (PFCs) or hydrofluorocarbons (HFCs)"
3827.1200,Containing hydrobromofluorocarbons (HBFCs)
3827.1300,Containing carbon tetrachloride
3827.1400,"Containing 1,1,1-trichloroethane (methyl chloroform)"
3827.2000,"Containing bromochlorodifluoromethane (Halon-1211), bromotrifluoromethane (Halon-1301) or dibromotetrafluoroethanes (Halon-2402)"
3827.3100,Containing substances of subheadings 2903.41 to 2903.48
3827.3200,"Other, containing substances of subheadings 2903.71 to 2903.75"
3827.3900,Other
3827.4000,Containing methyl bromide (bromomethane) or bromochloromethane
3827.5100,Containing trifluoromethane (HFC-23)
3827.5900,Other - Containing other hydrofluorocarbons (HFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs)
3827.6100,"Containing 15 % or more by mass of 1,1,1-trifluoroethane (HFC-143a)"
3827.6200,"Other, not included in the subheading above, containing 55 % or more by mass of pentafluoroethane (HFC-125) but not containing unsaturated fluorinated derivatives of acyclic hydrocarbons (HFOs)"
3827.6300,"Other, not included in the subheadings above, containing 40 % or more by mass of pentafluoroethane (HFC-125)"
3827.6400,"Other, not included in the subheadings above, containing 30 % or more by mass of 1,1,1,2-tetrafluoroethane (HFC-134a) but not containing unsaturated fluorinated derivatives of acyclic hydrocarbons (HFOs)"
3827.6500,"Other, not included in the subheadings above, containing 20 % or more by mass of difluoromethane (HFC-32) and 20 % or more by mass of pentafluoroethane (HFC-125)"
3827.6800,"Other, not included in the subheadings above, containing substances of subheadings 2903.41 to 2903.48"
3827.6900,Other
3827.9000,Other I.- PRIMARY FORMS
3901.1000,Polyethylene having a specific gravity of less than 0.94
3901.2000,Polyethylene having a specific gravity of 0.94 or more
3901.3000,Ethylene-Vinyl acetate copolymers
3901.4000,"Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94"
3901.9000,Other
3902.1000,Polypropylene
3902.2000,Polyisobutylene
3902.3000,Propylene copolymers
3902.9000,Other
3903.1100,Expansible - - Other
3903.1910,General Purpose Polystyrene (GPPS)
3903.1920,High Impact Polystyrene (HIPS)
3903.1990,Other
3903.2000,Styrene-acrylonitrile (SAN) copolymers
3903.3000,Acrylonitrile-butadiene-styrene (ABS) copolymers - Other
3903.9010,Styrene acrylic emulsion
3903.9090,Other
3904.1010,Emulsion grade
3904.1090,Other - Other poly(vinyl chloride)
3904.2100,Non-plasticised
3904.2200,Plasticised
3904.3000,Vinyl chloride-vinyl acetate copolymers
3904.4000,Other vinyl chloride copolymers
3904.5000,Vinylidene chloride polymers - Fluoro-polymers
3904.6100,Polytetrafluoroethylene
3904.6900,Other
3904.9000,Other
3905.1200,In aqueous dispersion
3905.1900,Other - Vinyl acetate copolymers
3905.2100,In aqueous dispersion
3905.2900,Other
3905.3000,"Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups"
3905.9100,Copolymers - - Other
3905.9910,Ethers polyvinyl
3905.9990,Other
3906.1000,Poly(methyl methacrylate) - Other
3906.9010,Cyanoacrylate
3906.9020,Acrylic binders
3906.9030,Pigment thickener
3906.9040,Dispersing agent and acrylic thickeners
3906.9090,Other
3907.1000,Polyacetals - Other polyethers
3907.2100,Bis(polyoxyethylene) methylphosphonate - - Other
3907.2910,Polyol blended with HCFC-141b or HCFC-142b
3907.2990,Other
3907.3000,Epoxide resins
3907.4000,Polycarbonates
3907.5000,Alkyd resins - Poly (ethylene terephthalate): - - Having a viscosity number of 78 ml/g or higher
3907.6110,Yarn and film grades
3907.6120,Bottle grade
3907.6190,Other - - Other
3907.6910,Yarn and film grades
3907.6920,Bottle grade
3907.6990,Other
3907.7000,Poly(lactic acid) - Other polyesters
3907.9100,Unsaturated
3907.9900,Other
3908.1000,"Polyamide-6, - 11, - 12, - 6, 6, - 6, 9, - 6, 10 or - 6, 12"
3908.9000,Other
3909.1010,Urea formaldehyde moulding compound
3909.1090,Other
3909.2000,Melamine resins - Other amino-resins
3909.3100,"Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)"
3909.3900,Other
3909.4000,Phenolic resins
3909.5000,Polyurethanes
3910.0000,Silicones in primary forms
3911.1010,Petroleum resins
3911.1090,Other
3911.2000,"Poly(1,3-phenylene methylphosphonate)"
3911.9000,Other
3912.1100,Non-plasticised
3912.1200,Plasticised - Cellulose nitrates (including collodions)
3912.2010,Cellulose nitrates nonplasticised
3912.2020,Nitrocellulose binder
3912.2090,Other - Cellulose ethers
3912.3100,Carboxymethylcellulose and its salts
3912.3900,Other
3912.9000,Other
3913.1000,"Alginic acids, its salts and esters - Other"
3913.9010,Protein hardened
3913.9090,Other
3914.0010,Ion-exchangers of condensation type
3914.0020,"Ion-exchangers of the polymerization type II.- WASTE, PARINGS AND SCRAP; SEMI-MANUFACTURES; ARTICLES"
3915.1000,Of polymers of ethylene
3915.2000,Of polymers of styrene
3915.3000,Of polymers of vinyl chloride
3915.9000,Of other plastics
3916.1000,Of polymers of ethylene
3916.2000,Of polymers of vinyl chloride
3916.9000,Of other plastics
3917.1000,Artificial guts (sausage casings) of hardened protein or of cellulosic materials
3917.2100,Of polymers of ethylene
3917.2200,Of polymers of propylene - - Of polymers of vinyl chloride
3917.2310,Heat shrinkable sleeves and tubes of a dia not exceeding 100 mm
3917.2390,Other
3917.2900,"Of other plastics - Other tubes, pipes and hoses"
3917.3100,"Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa"
3917.3200,"Other, not reinforced or otherwise combined with other materials, without fittings"
3917.3300,"Other, not reinforced or otherwise combined with other materials, with fittings"
3917.3910,Heat shrinkable sleeves and tubes
3917.3990,Other
3917.4000,Fittings
3918.1000,Of polymers of vinyl chloride
3918.9000,Of other plastics
3919.1010,Double sided tape
3919.1020,PVC electric insulation tapes
3919.1030,Stationery tape
3919.1090,Other - Other
3919.9010,Oriented Polypropylene (OPP) packing tapes
3919.9020,PVC electric insulation tapes in logs exceeding 100 cm
3919.9090,Other
3920.1010,Mineral filled film of Polyolefins for aseptic liquid food packaging
3920.1090,Other - Of polymers of propylene
3920.2010,"Biaxially Oriented Polypropylene (BOPP) film, plain"
3920.2020,"Biaxially Oriented Polypropylene (BOPP) film, printed"
3920.2030,"Biaxially Oriented Polypropylene (BOPP) film, metallized"
3920.2040,"Biaxially Oriented Polypropylene (BOPP) film, laminated"
3920.2090,Other
3920.3000,Of polymers of styrene - Of polymers of vinyl chloride
3920.4300,Containing by weight not less than 6 % of plasticisers - - Other
3920.4910,Polyvinyl Chloride (PVC) Rigid film
3920.4990,Other - Of acrylic polymers
3920.5100,Of poly(methyl methacrylate)
3920.5900,"Other - Of polycarbonates, alkyd resins, polyallyl esters or other polyesters"
3920.6100,Of polycarbonates
3920.6200,Of poly(ethylene terephthalate) - - Of unsaturated polyesters
3920.6310,Polyester rigid film
3920.6390,Other
3920.6900,Of other polyesters - Of cellulose or its chemical derivatives
3920.7100,Of regenerated cellulose
3920.7300,Of cellulose acetate
3920.7900,Of other cellulose derivatives - Of other plastics
3920.9100,Of poly(vinyl butyral)
3920.9200,Of polyamides
3920.9300,Of amino resins
3920.9400,Of phenolic resins
3920.9900,Of other plastics
3921.1100,Of polymers of styrene
3921.1200,Of polymers of vinyl chloride
3921.1300,Of polyurethanes
3921.1400,Of regenerated cellulose
3921.1900,Of other plastics - Other
3921.9010,"Of polyethylene, foamed and bridged, having a specific gravity of 0.032 to 0.042 g/cm3"
3921.9090,Other
3922.1000,"Baths, shower-baths, sinks and wash-basins"
3922.2000,Lavatory seats and covers
3922.9000,Other
3923.1000,"Boxes, cases, crates and similar articles - Sacks and bags (including cones)"
3923.2100,of polymers of ethylene
3923.2900,"Of other plastics - Carboys, bottles, flasks and similar articles"
3923.3010,Bottles
3923.3090,Other
3923.4000,"Spools, cops, bobbins and similar supports"
3923.5000,"Stoppers, lids, caps and other closures - Other"
3923.9010,Preforms made from polyethylene terephthalate
3923.9090,Other
3924.1000,Tableware and kitchenware
3924.9000,Other
3925.1000,"Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300l"
3925.2000,"Doors, windows and their frames and thresholds for doors"
3925.3000,"Shutters, blinds (including Venetian blinds) and similar articles and parts thereof"
3925.9000,Other
3926.1000,"Office or school supplies - Articles of apparel and clothing accessories (including gloves, mittens and mitts)"
3926.2010,Plastic belts
3926.2090,Other
3926.3000,"Fittings for furniture, coachwork of the like - Statuettes and other ornamental articles"
3926.4010,Ornamental articles of plastics
3926.4020,Plastic bangles
3926.4030,Spangles of plastics
3926.4040,Plastic beads
3926.4090,Other - Other
3926.9010,Synthetic floats for fishing nets
3926.9020,Coils of plastics (contraceptives and accessories therefor)
3926.9030,"Transmission, conveyor or elevator belts"
3926.9040,Laboratory ware
3926.9050,Urine bags
3926.9060,Shoe lasts
3926.9070,"Design patterns, cards for textile and leather garments - - - Other"
3926.9091,Plastic tags and staples for garments
3926.9099,Other
4001.1000,"Natural rubber latex, whether or not pre-vulcanised - Natural rubber in other forms"
4001.2100,Smoked sheets
4001.2200,Technically specified natural rubber (TSNR)
4001.2900,Other
4001.3000,"Balata, gutta-percha, guayule, chicle and similar natural gums"
4002.1100,Latex
4002.1900,Other
4002.2000,Butadiene rubber (BR) - Isobutene-isoprene (butyl) rubber (IIR); halo-isobutene-isoprene rubber (CIIR or BIIR)
4002.3100,Isobutene-isoprene (butyl) rubber (IIR)
4002.3900,Other - Chloroprene (chlorobutadiene) rubber (CR)
4002.4100,Latex
4002.4900,Other - Acrylonitrile-butadiene rubber (NBR)
4002.5100,Latex
4002.5900,Other
4002.6000,Isoprene rubber (IR)
4002.7000,Ethylenepropylene non-conjugated diene rubber (EPDM)
4002.8000,Mixtures of any product of heading 40.01 with any product of this heading
4002.9100,Latex
4002.9900,Other
4003.0000,"Reclaimed rubber in primary forms or in plates, sheets or strip"
4004.0010,Bagomatic bladder scrap
4004.0020,Shredded tyre scrap (cut into pieces)
4004.0090,Other
4005.1010,Plates
4005.1020,Sheets
4005.1090,Other
4005.2000,Solutions; dispersions other than those of subheading 4005.10
4005.9100,"Plates, sheets and strip"
4005.9900,Other
4006.1000,"""Camel-back"" strips for retreading rubber tyres"
4006.9000,Other
4007.0010,Single cord
4007.0090,Other
4008.1110,"Weather strips for doors, glass and luggage compartments for Vehicles of heading 87.03 and vehicles of sub - heading 8704.3130, 8704.2190 and 8704.3190 except weather strip moulding (inner or outer) for glass"
4008.1190,Other - - Other
4008.1910,"Weather strips for doors, glass and luggage compartments for Vehicles of heading 87.03 and vehicles of sub - heading 8704.3130, 8704.2190 and 8704.3190 except weather strip moulding (inner or outer) for glass"
4008.1990,"Other - Of non-cellular rubber: - - Plates, sheets and strip"
4008.2110,"Weather strips for doors, glass and luggage compartments for Vehicles of heading 87.03 and vehicles of sub - heading 8704.3130, 8704.2190 and 8704.3190 except weather strip moulding (inner or outer) for glass"
4008.2190,Other - - Other
